Project Name,Package Name,Type Name,Code Smell
Plants-Vs-Zombies,sample,ConeZombie,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,Repeater,Unutilized Abstraction
Plants-Vs-Zombies,sample,Zombie,Unutilized Abstraction
Plants-Vs-Zombies,sample,Zombie,Broken Hierarchy
Plants-Vs-Zombies,sample,Zombie,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,Jalapeno,Unutilized Abstraction
Plants-Vs-Zombies,sample,GameMenuController,Deficient Encapsulation
Plants-Vs-Zombies,sample,GameMenuController,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,Pea,Unutilized Abstraction
Plants-Vs-Zombies,sample,Pea,Broken Hierarchy
Plants-Vs-Zombies,sample,CherryBomb,Unutilized Abstraction
Plants-Vs-Zombies,sample,GameElements,Unutilized Abstraction
Plants-Vs-Zombies,sample,DataTable,Deficient Encapsulation
Plants-Vs-Zombies,sample,DataTable,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,Database,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,Plant,Unutilized Abstraction
Plants-Vs-Zombies,sample,Plant,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,Almanac,Unutilized Abstraction
Plants-Vs-Zombies,sample,SidebarElement,Unutilized Abstraction
Plants-Vs-Zombies,sample,SidebarElement,Broken Hierarchy
Plants-Vs-Zombies,sample,SidebarElement,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,BucketZombie,Broken Hierarchy
Plants-Vs-Zombies,sample,NormalZombie,Broken Hierarchy
Plants-Vs-Zombies,sample,MowerIterator,Unnecessary Abstraction
Plants-Vs-Zombies,sample,MowerIterator,Unutilized Abstraction
Plants-Vs-Zombies,sample,Sun,Unutilized Abstraction
Plants-Vs-Zombies,sample,Sun,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,Controller,Unnecessary Abstraction
Plants-Vs-Zombies,sample,Controller,Unutilized Abstraction
Plants-Vs-Zombies,sample,LoadGameController,Unutilized Abstraction
Plants-Vs-Zombies,sample,MainPageController,Unutilized Abstraction
Plants-Vs-Zombies,sample,PlantIterator,Unnecessary Abstraction
Plants-Vs-Zombies,sample,PlantIterator,Unutilized Abstraction
Plants-Vs-Zombies,sample,Main,Deficient Encapsulation
Plants-Vs-Zombies,sample,Main,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,LawnMower,Unutilized Abstraction
Plants-Vs-Zombies,sample,LawnMower,Broken Hierarchy
Plants-Vs-Zombies,sample,LawnMower,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,LevelMenuController,Deficient Encapsulation
Plants-Vs-Zombies,sample,LevelMenuController,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,PeaShooter,Unutilized Abstraction
Plants-Vs-Zombies,sample,PeaShooter,Broken Hierarchy
Plants-Vs-Zombies,sample,ZombieIterator,Unnecessary Abstraction
Plants-Vs-Zombies,sample,ZombieIterator,Unutilized Abstraction
Plants-Vs-Zombies,sample,Shooter,Unutilized Abstraction
Plants-Vs-Zombies,sample,Level,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,Sunflower,Unutilized Abstraction
Plants-Vs-Zombies,sample,GamePlayController,Deficient Encapsulation
Plants-Vs-Zombies,sample,GamePlayController,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,GamePlayController,Insufficient Modularization
Plants-Vs-Zombies,sample,Wallnut,Unutilized Abstraction
Plants-Vs-Zombies,sample,Wallnut,Broken Hierarchy
Plants-Vs-Zombies,sample,Shovel,Unutilized Abstraction
Plants-Vs-Zombies,sample,Shovel,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample,EndGameController,Cyclic-Dependent Modularization
Plants-Vs-Zombies,sample.view,viewManager,Unutilized Abstraction
Plants-Vs-Zombies,javafx.scene.media,EqualizerBand,Unutilized Abstraction
Plants-Vs-Zombies,javafx.scene.media,EqualizerBand,Deficient Encapsulation
Plants-Vs-Zombies,javafx.scene.media,MediaView,Cyclic-Dependent Modularization
Plants-Vs-Zombies,javafx.scene.media,MediaView,Insufficient Modularization
Plants-Vs-Zombies,javafx.scene.media,MediaErrorInvalidationListener,Unutilized Abstraction
