Project Name,Package Name,Type Name,Method Name,Code Smell
Plants-Vs-Zombies,sample,ConeZombie,ConeZombie,Magic Number
Plants-Vs-Zombies,sample,ConeZombie,ConeZombie,Magic Number
Plants-Vs-Zombies,sample,ConeZombie,ConeZombie,Magic Number
Plants-Vs-Zombies,sample,ConeZombie,eatPlant,Complex Method
Plants-Vs-Zombies,sample,ConeZombie,eatPlant,Magic Number
Plants-Vs-Zombies,sample,ConeZombie,eatPlant,Magic Number
Plants-Vs-Zombies,sample,ConeZombie,eatPlant,Magic Number
Plants-Vs-Zombies,sample,Repeater,Repeater,Magic Number
Plants-Vs-Zombies,sample,Repeater,Repeater,Magic Number
Plants-Vs-Zombies,sample,Repeater,Repeater,Magic Number
Plants-Vs-Zombies,sample,Repeater,attack,Magic Number
Plants-Vs-Zombies,sample,Repeater,attack,Magic Number
Plants-Vs-Zombies,sample,Repeater,attack,Magic Number
Plants-Vs-Zombies,sample,Repeater,attack,Magic Number
Plants-Vs-Zombies,sample,Repeater,attack,Magic Number
Plants-Vs-Zombies,sample,Repeater,attack,Magic Number
Plants-Vs-Zombies,sample,Repeater,handle,Magic Number
Plants-Vs-Zombies,sample,Repeater,handle,Magic Number
Plants-Vs-Zombies,sample,Repeater,handle,Magic Number
Plants-Vs-Zombies,sample,Repeater,handle,Magic Number
Plants-Vs-Zombies,sample,Repeater,handle,Magic Number
Plants-Vs-Zombies,sample,Zombie,Zombie,Long Parameter List
Plants-Vs-Zombies,sample,Zombie,setHp,Long Statement
Plants-Vs-Zombies,sample,Zombie,setHp,Magic Number
Plants-Vs-Zombies,sample,Zombie,setHp,Magic Number
Plants-Vs-Zombies,sample,Zombie,setHp,Magic Number
Plants-Vs-Zombies,sample,Zombie,setHp,Magic Number
Plants-Vs-Zombies,sample,Zombie,setHp,Magic Number
Plants-Vs-Zombies,sample,Zombie,roastZombie,Long Statement
Plants-Vs-Zombies,sample,Zombie,roastZombie,Magic Number
Plants-Vs-Zombies,sample,Zombie,roastZombie,Magic Number
Plants-Vs-Zombies,sample,Zombie,roastZombie,Magic Number
Plants-Vs-Zombies,sample,Zombie,checkReachedHouse,Magic Number
Plants-Vs-Zombies,sample,Zombie,moveZombie,Magic Number
Plants-Vs-Zombies,sample,Zombie,zombieWalk,Empty catch clause
Plants-Vs-Zombies,sample,Zombie,zombieWalk,Magic Number
Plants-Vs-Zombies,sample,Zombie,eatPlant,Complex Method
Plants-Vs-Zombies,sample,Zombie,eatPlant,Magic Number
Plants-Vs-Zombies,sample,Zombie,eatPlant,Magic Number
Plants-Vs-Zombies,sample,Zombie,eatPlant,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,Jalapeno,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,Jalapeno,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,Jalapeno,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,Jalapeno,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,makeImage,Long Statement
Plants-Vs-Zombies,sample,Jalapeno,makeImage,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,makeImage,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,makeImage,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,attack,Complex Method
Plants-Vs-Zombies,sample,Jalapeno,attack,Empty catch clause
Plants-Vs-Zombies,sample,Jalapeno,attack,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,attack,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,removefire,Magic Number
Plants-Vs-Zombies,sample,Jalapeno,removefire,Magic Number
Plants-Vs-Zombies,sample,GameMenuController,initData,Long Parameter List
Plants-Vs-Zombies,sample,GameMenuController,saveGame,Long Statement
Plants-Vs-Zombies,sample,Pea,Pea,Magic Number
Plants-Vs-Zombies,sample,Pea,Pea,Magic Number
Plants-Vs-Zombies,sample,Pea,movePea,Magic Number
