Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
Plants-Vs-Zombies,sample,ConeZombie,ConeZombie,4,1,3
Plants-Vs-Zombies,sample,ConeZombie,eatPlant,57,11,0
Plants-Vs-Zombies,sample,Repeater,Repeater,4,1,4
Plants-Vs-Zombies,sample,Repeater,attack,29,3,1
Plants-Vs-Zombies,sample,Repeater,handle,20,3,1
Plants-Vs-Zombies,sample,Zombie,Zombie,8,1,8
Plants-Vs-Zombies,sample,Zombie,getHp,3,1,0
Plants-Vs-Zombies,sample,Zombie,getLane,3,1,0
Plants-Vs-Zombies,sample,Zombie,setHp,27,6,1
Plants-Vs-Zombies,sample,Zombie,roastZombie,19,1,0
Plants-Vs-Zombies,sample,Zombie,setLane,3,1,1
Plants-Vs-Zombies,sample,Zombie,checkReachedHouse,9,2,0
Plants-Vs-Zombies,sample,Zombie,moveZombie,7,1,0
Plants-Vs-Zombies,sample,Zombie,zombieWalk,11,2,0
Plants-Vs-Zombies,sample,Zombie,getZombieAnimation,3,1,0
Plants-Vs-Zombies,sample,Zombie,chompPlant,9,1,0
Plants-Vs-Zombies,sample,Zombie,eatPlant,57,11,0
Plants-Vs-Zombies,sample,Jalapeno,Jalapeno,6,1,4
Plants-Vs-Zombies,sample,Jalapeno,makeImage,10,2,1
Plants-Vs-Zombies,sample,Jalapeno,attack,42,9,1
Plants-Vs-Zombies,sample,Jalapeno,removefire,17,2,0
Plants-Vs-Zombies,sample,GameMenuController,initData,12,1,10
Plants-Vs-Zombies,sample,GameMenuController,restartGame,12,1,1
Plants-Vs-Zombies,sample,GameMenuController,saveGame,8,1,1
Plants-Vs-Zombies,sample,GameMenuController,showMainMenu,8,1,1
Plants-Vs-Zombies,sample,Pea,Pea,8,1,4
Plants-Vs-Zombies,sample,Pea,movePea,12,3,0
Plants-Vs-Zombies,sample,Pea,shootPea,7,1,0
Plants-Vs-Zombies,sample,Pea,checkZombieCollision,21,4,0
Plants-Vs-Zombies,sample,CherryBomb,CherryBomb,4,1,4
Plants-Vs-Zombies,sample,CherryBomb,makeImage,9,1,1
Plants-Vs-Zombies,sample,CherryBomb,attack,46,9,1
Plants-Vs-Zombies,sample,CherryBomb,removepowie,14,1,0
Plants-Vs-Zombies,sample,GameElements,GameElements,7,1,5
Plants-Vs-Zombies,sample,GameElements,makeImage,8,1,1
Plants-Vs-Zombies,sample,GameElements,getX,3,1,0
Plants-Vs-Zombies,sample,GameElements,setX,4,1,1
Plants-Vs-Zombies,sample,GameElements,getY,3,1,0
Plants-Vs-Zombies,sample,GameElements,setY,4,1,1
Plants-Vs-Zombies,sample,DataTable,DataTable,19,1,1
Plants-Vs-Zombies,sample,DataTable,update,11,1,9
Plants-Vs-Zombies,sample,DataTable,saveGame,8,1,0
Plants-Vs-Zombies,sample,DataTable,getAllLawnMowers,3,1,0
Plants-Vs-Zombies,sample,DataTable,getAllPlants,3,1,0
Plants-Vs-Zombies,sample,DataTable,getAllZombie,3,1,0
Plants-Vs-Zombies,sample,DataTable,getLevelNumber,3,1,0
Plants-Vs-Zombies,sample,DataTable,getSavingTimeStamp,3,1,0
Plants-Vs-Zombies,sample,DataTable,getSunCount,3,1,0
Plants-Vs-Zombies,sample,DataTable,getTimeElapsed,3,1,0
Plants-Vs-Zombies,sample,DataTable,toString,3,1,0
Plants-Vs-Zombies,sample,DataTable,getZombieList1,3,1,0
Plants-Vs-Zombies,sample,DataTable,getZombieList2,3,1,0
Plants-Vs-Zombies,sample,DataTable,getStatus,3,1,0
Plants-Vs-Zombies,sample,Database,Database,4,1,0
Plants-Vs-Zombies,sample,Database,getMaxLevel,3,1,0
Plants-Vs-Zombies,sample,Database,setMaxLevel,3,2,1
Plants-Vs-Zombies,sample,Database,addData,3,1,1
Plants-Vs-Zombies,sample,Database,removeData,3,2,1
Plants-Vs-Zombies,sample,Database,deleteAllProgress,3,1,0
Plants-Vs-Zombies,sample,Database,getDatabaseFiles,3,1,0
Plants-Vs-Zombies,sample,Plant,Plant,6,1,8
