Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
Plants-Vs-Zombies,sample,ConeZombie,0,0,2,2,63,12,0,2,-1.0,1,2
Plants-Vs-Zombies,sample,Repeater,0,0,3,3,35,7,0,3,-1.0,0,5
Plants-Vs-Zombies,sample,Zombie,10,0,12,12,171,29,3,1,0.16666666666666666,1,6
Plants-Vs-Zombies,sample,Jalapeno,2,0,4,4,79,14,0,2,0.0,0,4
Plants-Vs-Zombies,sample,GameMenuController,15,1,4,1,57,4,0,0,0.0,1,10
Plants-Vs-Zombies,sample,Pea,6,0,4,4,56,9,0,1,0.0,0,3
Plants-Vs-Zombies,sample,CherryBomb,2,0,4,4,77,12,0,2,0.5,0,4
Plants-Vs-Zombies,sample,GameElements,6,0,6,6,37,6,7,0,0.0,0,3
Plants-Vs-Zombies,sample,DataTable,18,5,14,14,91,14,0,0,0.21428571428571427,5,3
Plants-Vs-Zombies,sample,Database,4,0,7,7,28,9,0,0,0.0,3,2
Plants-Vs-Zombies,sample,Plant,4,0,6,6,34,7,5,1,0.5,1,5
Plants-Vs-Zombies,sample,Almanac,2,0,12,0,47,12,0,0,0.3333333333333333,0,6
Plants-Vs-Zombies,sample,SidebarElement,6,0,8,7,164,21,0,1,0.25,3,4
Plants-Vs-Zombies,sample,BucketZombie,0,0,1,1,6,1,0,2,-1.0,1,0
Plants-Vs-Zombies,sample,NormalZombie,0,0,1,1,6,1,0,2,-1.0,1,0
Plants-Vs-Zombies,sample,MowerIterator,0,0,0,0,2,0,0,0,-1.0,0,0
Plants-Vs-Zombies,sample,Sun,3,0,5,5,45,7,0,1,0.8,2,4
Plants-Vs-Zombies,sample,Controller,0,0,0,0,2,0,0,0,-1.0,0,0
Plants-Vs-Zombies,sample,LoadGameController,5,0,4,1,30,5,0,0,0.0,0,10
Plants-Vs-Zombies,sample,MainPageController,7,0,6,1,39,6,0,0,0.5,0,7
Plants-Vs-Zombies,sample,PlantIterator,0,0,0,0,2,0,0,0,-1.0,0,0
Plants-Vs-Zombies,sample,Main,2,1,6,6,53,6,0,0,0.3333333333333333,6,9
Plants-Vs-Zombies,sample,LawnMower,3,0,5,5,58,14,0,1,0.6,1,6
Plants-Vs-Zombies,sample,LevelMenuController,15,3,11,2,131,18,0,0,0.36363636363636365,3,8
Plants-Vs-Zombies,sample,PeaShooter,0,0,1,1,6,1,0,3,-1.0,0,0
Plants-Vs-Zombies,sample,ZombieIterator,0,0,0,0,2,0,0,0,-1.0,0,0
Plants-Vs-Zombies,sample,Shooter,2,0,6,6,44,11,2,2,0.5,0,5
Plants-Vs-Zombies,sample,Level,9,0,7,7,93,17,0,0,0.5714285714285714,2,5
Plants-Vs-Zombies,sample,Sunflower,1,0,8,8,54,11,0,2,0.375,0,7
Plants-Vs-Zombies,sample,GamePlayController,38,18,23,21,392,64,0,0,0.0,18,28
Plants-Vs-Zombies,sample,Wallnut,0,0,2,2,14,3,0,2,-1.0,0,1
Plants-Vs-Zombies,sample,Shovel,2,0,6,5,38,8,0,1,0.3333333333333333,3,4
Plants-Vs-Zombies,sample,EndGameController,10,0,4,2,64,10,0,0,0.5,1,8
Plants-Vs-Zombies,sample.view,viewManager,5,0,2,2,16,2,0,0,0.0,0,3
Plants-Vs-Zombies,javafx.scene.media,AudioSpectrumListener,0,0,1,1,15,1,0,0,-1.0,1,0
Plants-Vs-Zombies,javafx.scene.media,EqualizerBand,7,2,21,17,157,30,0,0,0.38095238095238093,0,2
Plants-Vs-Zombies,javafx.scene.media,MediaView,22,0,91,55,739,159,0,0,0.2967032967032967,3,22
Plants-Vs-Zombies,javafx.scene.media,MediaErrorInvalidationListener,0,0,1,1,9,1,0,0,-1.0,0,2
Plants-Vs-Zombies,javafx.scene.media,MediaViewFrameTracker,0,0,2,2,8,2,0,0,-1.0,0,0
Plants-Vs-Zombies,javafx.scene.media,Track,5,0,6,5,80,11,3,0,0.0,1,0
Plants-Vs-Zombies,javafx.scene.media,VideoTrack,2,0,3,2,39,5,0,1,0.0,0,0
Plants-Vs-Zombies,javafx.scene.media,MediaException,1,0,9,2,129,20,0,0,0.3333333333333333,9,2
Plants-Vs-Zombies,javafx.scene.media,MediaPlayer,81,1,190,138,1925,404,0,0,0.18421052631578946,9,39
Plants-Vs-Zombies,javafx.scene.media,InitMediaPlayer,0,0,1,1,21,2,0,0,-1.0,1,1
Plants-Vs-Zombies,javafx.scene.media,MarkerMapChangeListener,0,0,1,1,25,7,0,0,-1.0,0,2
Plants-Vs-Zombies,javafx.scene.media,_MarkerListener,0,0,1,1,14,2,0,0,-1.0,0,3
Plants-Vs-Zombies,javafx.scene.media,_PlayerStateListener,0,0,8,7,86,14,0,0,-1.0,0,3
